物种	全部预测一致：	  其中启动子：	非启动子： 	 预测对	  其中启动子：	非启动子： 	   预测错	  其中启动子：	非启动子： 	 准确率	  测试集总数	 启动子个数：	 非启动子个数：	没进行预测的个数
b100	678	  319	359 	 627	  302	325 	 51	  17	34 	0.9248	1198	599	599	520
sbr5	517	  244	273 	 427	  218	209 	 90	  26	64 	0.8259	900	444	456	383
mw2	491	  275	216 	 470	  257	213 	 21	  18	3 	0.9572	792	397	395	301
12228	396	  197	199 	 385	  193	192 	 11	  4	7 	0.9722	638	333	305	242
1021	3081	  1499	1582 	 2499	  1261	1238 	 582	  238	344 	0.8111	5948	2975	2973	2867
rm1221	445	  216	229 	 407	  202	205 	 38	  14	24 	0.9146	819	409	410	374
26695	482	  229	253 	 447	  218	229 	 35	  11	24 	0.9274	840	415	425	358
DS2	1224	  610	614 	 1191	  593	598 	 33	  17	16 	0.973	1784	908	876	560
168	153	  68	85 	 140	  60	80 	 13	  8	5 	0.915	259	125	134	106
j2315	2372	  1099	1273 	 2129	  1022	1107 	 243	  77	166 	0.8976	3926	1957	1969	1554
coli	938	  471	467 	 842	  428	414 	 96	  43	53 	0.8977	1352	678	674	414
c58	147	  65	82 	 135	  63	72 	 12	  2	10 	0.9184	279	142	137	132
usda110	3080	  1557	1523 	 2620	  1320	1300 	 460	  237	223 	0.8506	6054	3024	3030	2974
nctc13129	357	  182	175 	 331	  170	161 	 26	  12	14 	0.9272	617	311	306	260
m90t	1816	  876	940 	 1636	  773	863 	 180	  103	77 	0.9009	4016	2031	1985	2200
13032	743	  368	375 	 712	  352	360 	 31	  16	15 	0.9583	1245	619	626	502
mg1655	1313	  645	668 	 1095	  541	554 	 218	  104	114 	0.834	2521	1249	1272	1208
