物种	全部预测一致：	  其中启动子：	非启动子： 	 预测对	  其中启动子：	非启动子： 	   预测错	  其中启动子：	非启动子： 	 准确率	  测试集总数	 启动子个数：	 非启动子个数：	没进行预测的个数
b100	892	  471	421 	 804	  421	383 	 88	  50	38 	0.9013	1198	599	599	306
sbr5	643	  338	305 	 499	  247	252 	 144	  91	53 	0.776	900	444	456	257
mw2	618	  318	300 	 562	  291	271 	 56	  27	29 	0.9094	792	397	395	174
12228	499	  258	241 	 469	  243	226 	 30	  15	15 	0.9399	638	333	305	139
1021	3860	  1996	1864 	 2957	  1497	1460 	 903	  499	404 	0.7661	5948	2975	2973	2088
rm1221	593	  299	294 	 508	  254	254 	 85	  45	40 	0.8567	819	409	410	226
26695	654	  335	319 	 576	  288	288 	 78	  47	31 	0.8807	840	415	425	186
DS2	1478	  770	708 	 1422	  745	677 	 56	  25	31 	0.9621	1784	908	876	306
168	187	  87	100 	 155	  68	87 	 32	  19	13 	0.8289	259	125	134	72
j2315	2946	  1521	1425 	 2516	  1249	1267 	 430	  272	158 	0.854	3926	1957	1969	980
coli	1035	  528	507 	 899	  455	444 	 136	  73	63 	0.8686	1352	678	674	317
c58	194	  98	96 	 148	  69	79 	 46	  29	17 	0.7629	279	142	137	85
usda110	3950	  1998	1952 	 3167	  1646	1521 	 783	  352	431 	0.8018	6054	3024	3030	2104
nctc13129	462	  240	222 	 402	  202	200 	 60	  38	22 	0.8701	617	311	306	155
m90t	2776	  1430	1346 	 2382	  1264	1118 	 394	  166	228 	0.8581	4016	2031	1985	1240
13032	894	  460	434 	 825	  430	395 	 69	  30	39 	0.9228	1245	619	626	351
mg1655	1633	  810	823 	 1273	  629	644 	 360	  181	179 	0.7795	2521	1249	1272	888
